species,locus,accession,seq_len,sci_name,ncbi_name,ncbi_taxid,outgroup
Crepidomanes_chevalieri,rbcL,KF041483,1206,Crepidomanes chevalieri (Christ) Ebihara & Dubuisson,Crepidomanes chevalieri (Christ) Ebihara & Dubuisson,1399551,FALSE
Crepidomanes_christii,rbcL,AB257466,1206,Crepidomanes christii (Copel.) Copel.,Crepidomanes christii (Copel.) Copel.,381229,FALSE
Crepidomanes_clarenceanum,rbcL,KF041484,1206,Crepidomanes clarenceanum (Ballard) Pic. Serm.,Crepidomanes clarenceanum (Ballard) Pic.Serm.,1399552,FALSE
Crepidomanes_draytonianum,rbcL,MT657811,1309,Crepidomanes draytonianum (Brack.) Ebihara & K. Iwats.,Crepidomanes draytonianum (Brack.) Ebihara & K.Iwats.,2853618,FALSE
Crepidomanes_fallax,rbcL,AB479129,1206,Crepidomanes fallax (Christ) Ebihara & Dubuisson,Crepidomanes fallax (Christ) Ebihara & Dubuisson,381236,FALSE
Crepidomanes_frappieri,rbcL,KF041485,1204,Crepidomanes frappieri (Cordem.) J. P. Roux,Crepidomanes frappieri (Cordem.) J.P.Roux,1399553,FALSE
Crepidomanes_grande,rbcL,MT657841,1309,Crepidomanes grande (Copel.) Ebihara & K. Iwats.,Crepidomanes grande (Copel.) Ebihara & K.Iwats.,381237,FALSE
Crepidomanes_humile,rbcL,MT657817,1309,Crepidomanes humile (G. Forst.) Bosch,Crepidomanes humile (G.Forst.) K.Iwats.,381240,FALSE
Crepidomanes_inopinatum,rbcL,AB257463,1206,Crepidomanes inopinatum (Pic. Serm.) J. P. Roux,Crepidomanes inopinatum (Pic.Serm.) J.P.Roux,593773,FALSE
Crepidomanes_intermedium,rbcL,MT657843,1309,Crepidomanes intermedium (Bosch) Ebihara & K. Iwats.,Crepidomanes intermedium (Bosch) Ebihara & K.Iwats.,221322,FALSE
Crepidomanes_intramarginale,rbcL,KF041487,1206,Crepidomanes intramarginale (C. Presl) C. Presl,Crepidomanes intramarginale (Hook. & Grev.) Copel.,1399554,FALSE
Crepidomanes_intricatum,rbcL,AB378491,1206,Crepidomanes intricatum (Farrar) Ebihara & Weakley,Crepidomanes intricatum (Farrar) Ebihara & Weakley,501573,FALSE
Crepidomanes_intricatum,rps4,AB378495,250,Crepidomanes intricatum (Farrar) Ebihara & Weakley,Crepidomanes intricatum (Farrar) Ebihara & Weakley,501573,FALSE
Crepidomanes_intricatum,rps4-trnS,AB378495,416,Crepidomanes intricatum (Farrar) Ebihara & Weakley,Crepidomanes intricatum (Farrar) Ebihara & Weakley,501573,FALSE
Crepidomanes_kurzii,rbcL,EU122970,1238,Crepidomanes kurzii (Bedd.) Tagawa & K. Iwats.,Crepidomanes kurzii (Bedd.) Tagawa & K.Iwats.,381246,FALSE
Crepidomanes_latealatum,plastome,OM419367,65919,Crepidomanes latealatum (Bosch) Copel.,Crepidomanes latealatum (Bosch) Copel.,164669,FALSE
Crepidomanes_latemarginale,rbcL,EU122971,1238,Crepidomanes latemarginale (D. C. Eaton) Copel.,Crepidomanes latemarginale (D.C.Eaton) Copel.,381248,FALSE
Crepidomanes_longilabiatum,rbcL,AB479132,1206,Crepidomanes longilabiatum (Bonap.) J. P. Roux,Trichomanes longilabiatum Bonap.,593774,FALSE
Crepidomanes_makinoi,rbcL,AB574709,1205,Crepidomanes makinoi (C. Chr.) Copel.,Crepidomanes makinoi (C.Chr.) Copel.,872482,FALSE
Crepidomanes_melanotrichum,rbcL,AB479133,1206,Crepidomanes melanotrichum (Schltdl.) J. P. Roux,Crepidomanes melanotrichum (Schltdl.) J.P.Roux,593775,FALSE
Crepidomanes_mettenii,rbcL,AB479148,1206,Crepidomanes mettenii (C. Chr.) Ebihara & Dubuisson,Crepidomanes mettenii (C.Chr.) Ebihara & Dubuisson,593782,FALSE
Crepidomanes_parvulum,plastome,MN905537,65984,"Crepidomanes parvulum (Poir.) Nivart, Senterre & Dubuisson",Crepidomanes minutum (Blume) K.Iwats.,32127,FALSE
Crepidomanes_pyxidiferum,rbcL,AB479149,1206,Crepidomanes pyxidiferum (L.) Dubuisson & Ebihara,Crepidomanes pyxidiferum (L.) Dubuisson & Ebihara,593783,FALSE
Crepidomanes_saxifragoides,rbcL,MT657821,1264,Crepidomanes saxifragoides (C. Presl) P. S. Green,Crepidomanes saxifragoides (C.Presl) P.S.Green,2853736,FALSE
Crepidomanes_schmidianum,rbcL,AB378492,1206,Crepidomanes schmidianum (Zenker ex Taschner) K. Iwats.,Crepidomanes schmidianum var. schmidianum,501574,FALSE
Crepidomanes_schmidianum,rps4,AB378497,250,Crepidomanes schmidianum (Zenker ex Taschner) K. Iwats.,Crepidomanes schmidianum var. schmidianum,501574,FALSE
Crepidomanes_schmidianum,rps4-trnS,AB378497,416,Crepidomanes schmidianum (Zenker ex Taschner) K. Iwats.,Crepidomanes schmidianum var. schmidianum,501574,FALSE
Crepidomanes_schmidtianum,rbcL,AB378494,1206,Crepidomanes schmidtianum var. latifrons (Bosch) K.Iwats.,Crepidomanes schmidianum var. latifrons,501575,FALSE
Crepidomanes_schmidtianum,rps4,AB378498,250,Crepidomanes schmidtianum var. latifrons (Bosch) K.Iwats.,Crepidomanes schmidianum var. latifrons,501575,FALSE
Crepidomanes_schmidtianum,rps4-trnS,AB378498,416,Crepidomanes schmidtianum var. latifrons (Bosch) K.Iwats.,Crepidomanes schmidianum var. latifrons,501575,FALSE
Crepidomanes_thysanostomum,atpA,EF463744,1506,Crepidomanes thysanostomum (Makino) Ebihara & K. Iwats.,Crepidomanes thysanostomum (Makino) Ebihara & K.Iwats.,29623,FALSE
Crepidomanes_thysanostomum,atpB,EF463453,1183,Crepidomanes thysanostomum (Makino) Ebihara & K. Iwats.,Crepidomanes thysanostomum (Makino) Ebihara & K.Iwats.,29623,FALSE
Crepidomanes_thysanostomum,rbcL,AB083294,1428,Crepidomanes thysanostomum (Makino) Ebihara & K. Iwats.,Crepidomanes thysanostomum (Makino) Ebihara & K.Iwats.,29623,FALSE
Crepidomanes_thysanostomum,rps4,EU553546,504,Crepidomanes thysanostomum (Makino) Ebihara & K. Iwats.,Crepidomanes thysanostomum (Makino) Ebihara & K.Iwats.,29623,FALSE
Crepidomanes_thysanostomum,rps4-trnS,EU553546,124,Crepidomanes thysanostomum (Makino) Ebihara & K. Iwats.,Crepidomanes thysanostomum (Makino) Ebihara & K.Iwats.,29623,FALSE
Crepidomanes_trinerve,rbcL,AB479142,1206,Crepidomanes trinerve (Copel. ex G. Kunkel) Dubuisson & Ebihara,Crepidomanes trinerve (Baker) Dubuisson & Ebihara,593776,FALSE
Crepidomanes_vitiense,rbcL,AB162689,1206,Crepidomanes vitiense (Baker) Bostock,Crepidomanes vitiense (Baker) Bostock,263888,FALSE
Crepidomanes_walleri,rbcL,AB257469,1206,Crepidomanes walleri (Watts) Tind.,Crepidomanes walleri (Watts) Tindale,381264,FALSE
Cryptogramma_acrostichoides,plastome,MH173081,67033,Cryptogramma acrostichoides R. Br. apud Richards.,Cryptogramma acrostichoides R.Br.,414624,FALSE
Cryptogramma_bithynica,atpB,KT000639,584,"Cryptogramma bithynica S. Jess., L. Lehm. & Bujnoch","Cryptogramma bithynica S.Jess., L.Lehm. & Bujnoch",1842856,FALSE
Cryptogramma_bithynica,rbcL,KT000629,1309,"Cryptogramma bithynica S. Jess., L. Lehm. & Bujnoch","Cryptogramma bithynica S.Jess., L.Lehm. & Bujnoch",1842856,FALSE
Cryptogramma_bithynica,rps4,KT221146,568,"Cryptogramma bithynica S. Jess., L. Lehm. & Bujnoch","Cryptogramma bithynica S.Jess., L.Lehm. & Bujnoch",1842856,FALSE
Cryptogramma_bithynica,rps4-trnS,KT221146,398,"Cryptogramma bithynica S. Jess., L. Lehm. & Bujnoch","Cryptogramma bithynica S.Jess., L.Lehm. & Bujnoch",1842856,FALSE
Cryptogramma_brunoniana,plastome,MT130621,67020,Cryptogramma brunoniana Wall.,Cryptogramma brunoniana Wall. ex Hook. & Grev.,238822,FALSE
Cryptogramma_cascadensis,atpB,KC700164,583,Cryptogramma cascadensis E. R. Alverson,Cryptogramma cascadensis E.R.Alverson,1302312,FALSE
Cryptogramma_cascadensis,rbcL,KC700087,1294,Cryptogramma cascadensis E. R. Alverson,Cryptogramma cascadensis E.R.Alverson,1302312,FALSE
Cryptogramma_cascadensis,rps4,KC700204,574,Cryptogramma cascadensis E. R. Alverson,Cryptogramma cascadensis E.R.Alverson,1302312,FALSE
Cryptogramma_cascadensis,rps4-trnS,KC700203,453,Cryptogramma cascadensis E. R. Alverson,Cryptogramma cascadensis E.R.Alverson,1302312,FALSE
Cryptogramma_crispa,atpA,EF452087,1506,Cryptogramma crispa (L.) R. Br. ex Hook.,Cryptogramma crispa (L.) R.Br. ex Hook.,306132,FALSE
Cryptogramma_crispa,atpB,EF452027,1278,Cryptogramma crispa (L.) R. Br. ex Hook.,Cryptogramma crispa (L.) R.Br. ex Hook.,306132,FALSE
Cryptogramma_crispa,rbcL,EF452148,1308,Cryptogramma crispa (L.) R. Br. ex Hook.,Cryptogramma crispa (L.) R.Br. ex Hook.,306132,FALSE
Cryptogramma_fumariifolia,atpB,KC700157,581,Cryptogramma fumariifolia (Phil. ex Baker) Christ,Cryptogramma fumariifolia (Phil.) Christ,1302313,FALSE
Cryptogramma_fumariifolia,rbcL,KC700080,1309,Cryptogramma fumariifolia (Phil. ex Baker) Christ,Cryptogramma fumariifolia (Phil.) Christ,1302313,FALSE
Cryptogramma_fumariifolia,rps4,KC700197,573,Cryptogramma fumariifolia (Phil. ex Baker) Christ,Cryptogramma fumariifolia (Phil.) Christ,1302313,FALSE
Cryptogramma_fumariifolia,rps4-trnS,KC700197,457,Cryptogramma fumariifolia (Phil. ex Baker) Christ,Cryptogramma fumariifolia (Phil.) Christ,1302313,FALSE
Cryptogramma_sitchensis,atpB,KC700185,583,Cryptogramma sitchensis (Rupr.) T. Moore,Cryptogramma sitchensis (Rupr.) T.Moore,1302315,FALSE
Cryptogramma_sitchensis,rbcL,KC700107,1309,Cryptogramma sitchensis (Rupr.) T. Moore,Cryptogramma sitchensis (Rupr.) T.Moore,1302315,FALSE
Cryptogramma_sitchensis,rps4,KC700224,577,Cryptogramma sitchensis (Rupr.) T. Moore,Cryptogramma sitchensis (Rupr.) T.Moore,1302315,FALSE
Cryptogramma_sitchensis,rps4-trnS,KC700224,449,Cryptogramma sitchensis (Rupr.) T. Moore,Cryptogramma sitchensis (Rupr.) T.Moore,1302315,FALSE
Cryptogramma_stelleri,atpB,KC700155,577,Cryptogramma stelleri (S. G. Gmel.) Prantl,Cryptogramma stelleri (S.G.Gmel.) Prantl,377231,FALSE
Cryptogramma_stelleri,rbcL,KC700078,1309,Cryptogramma stelleri (S. G. Gmel.) Prantl,Cryptogramma stelleri (S.G.Gmel.) Prantl,377231,FALSE
Cryptogramma_stelleri,rps4,KC700195,573,Cryptogramma stelleri (S. G. Gmel.) Prantl,Cryptogramma stelleri (S.G.Gmel.) Prantl,377231,FALSE
Cryptogramma_stelleri,rps4-trnS,KC700193,599,Cryptogramma stelleri (S. G. Gmel.) Prantl,Cryptogramma stelleri (S.G.Gmel.) Prantl,377231,FALSE
Cryptogramma_stelleri,trnL-trnF,DQ432691,866,Cryptogramma stelleri (S. G. Gmel.) Prantl,Cryptogramma stelleri (S.G.Gmel.) Prantl,377231,FALSE
Ctenitis_aciculata,rbcL,KY701622,982,Ctenitis aciculata (Baker) Ching,Ctenitis aciculata (Baker) Ching,1981836,FALSE
Ctenitis_aciculata,trnL-trnF,KY701668,327,Ctenitis aciculata (Baker) Ching,Ctenitis aciculata (Baker) Ching,1981836,FALSE
Ctenitis_analamazaotrensis,rbcL,KY701662,1226,Ctenitis analamazaotrensis (Rakotondr.) Hennequin & Rouhan,Ctenitis analamazaotrensis (Rakotondr.) Hennequin & Rouhan,1981838,FALSE
Ctenitis_analamazaotrensis,trnL-trnF,KY701720,847,Ctenitis analamazaotrensis (Rakotondr.) Hennequin & Rouhan,Ctenitis analamazaotrensis (Rakotondr.) Hennequin & Rouhan,1981838,FALSE
Ctenitis_biformis,atpA,KF898003,724,Ctenitis biformis (Mett. ex Kuhn) Tardieu,Pseudotectaria biformis (Mett.) Holttum,1435270,FALSE
Ctenitis_biformis,rbcL,KF887166,1183,Ctenitis biformis (Mett. ex Kuhn) Tardieu,Pseudotectaria biformis (Mett.) Holttum,1435270,FALSE
Ctenitis_biformis,trnL-trnF,KF897951,334,Ctenitis biformis (Mett. ex Kuhn) Tardieu,Pseudotectaria biformis (Mett.) Holttum,1435270,FALSE
Ctenitis_bivestita,trnL-trnF,KX238782,362,Ctenitis bivestita (Mett.) Tardieu,Ctenitis bivestita (Mett.) Tardieu,1981841,FALSE
Ctenitis_borbonica,rbcL,KY701623,1226,Ctenitis borbonica (Baker) Tardieu,Ctenitis borbonica (Baker) Tardieu,1521218,FALSE
Ctenitis_borbonica,trnL-trnF,KY701687,829,Ctenitis borbonica (Baker) Tardieu,Ctenitis borbonica (Baker) Tardieu,1521218,FALSE
Ctenitis_brevipetiolata,rbcL,KY701653,670,Ctenitis brevipetiolata,Ctenitis brevipetiolata,1981843,FALSE
Ctenitis_brevipetiolata,trnL-trnF,KY701713,843,Ctenitis brevipetiolata,Ctenitis brevipetiolata,1981843,FALSE
Ctenitis_bullescens,rbcL,KY701647,1119,"Ctenitis bullescens Rouhan, Li Bing Zhang & Yi F. Duan","Ctenitis bullescens Rouhan, Li Bing Zhang & Yi F.Duan",1981844,FALSE
Ctenitis_bullescens,trnL-trnF,KY701708,838,"Ctenitis bullescens Rouhan, Li Bing Zhang & Yi F. Duan","Ctenitis bullescens Rouhan, Li Bing Zhang & Yi F.Duan",1981844,FALSE
Ctenitis_cerea,trnL-trnF,KY701689,685,Ctenitis cerea Li Bing Zhang & Yi F. Duan,Ctenitis cerea Li Bing Zhang & Yi F.Duan,1981845,FALSE
Ctenitis_cirrhosa,rbcL,KY701626,1163,Ctenitis cirrhosa (Schum.) Ching,Ctenitis cirrhosa (Schumach.) Ching,1521219,FALSE
Ctenitis_cirrhosa,trnL-trnF,KY701670,332,Ctenitis cirrhosa (Schum.) Ching,Ctenitis cirrhosa (Schumach.) Ching,1521219,FALSE
Ctenitis_comorensis,rbcL,KY701624,766,Ctenitis comorensis Li Bing Zhang & Yi F. Duan,Ctenitis comorensis Li Bing Zhang & Yi F.Duan,1981846,FALSE
Ctenitis_comorensis,trnL-trnF,KY701688,776,Ctenitis comorensis Li Bing Zhang & Yi F. Duan,Ctenitis comorensis Li Bing Zhang & Yi F.Duan,1981846,FALSE
Ctenitis_crinigera,rbcL,KY701664,1226,Ctenitis crinigera (C. Chr.) Hennequin & Rouhan,Ctenitis crinigera (C.Chr.) Hennequin & Rouhan,1981847,FALSE
Ctenitis_crinigera,trnL-trnF,KY701722,848,Ctenitis crinigera (C. Chr.) Hennequin & Rouhan,Ctenitis crinigera (C.Chr.) Hennequin & Rouhan,1981847,FALSE
Ctenitis_crinita,rbcL,KF992457,1226,Ctenitis crinita (Poir.) Ching,Ctenitis crinita (Poir.) Tardieu,1521220,FALSE
Ctenitis_crinita,trnL-trnF,KY701695,831,Ctenitis crinita (Poir.) Ching,Ctenitis crinita var. crinita,1981879,FALSE
Ctenitis_cyclochlamys,rbcL,KY701633,1226,Ctenitis cyclochlamys (Fée) Holttum,Ctenitis cyclochlamys (Fee) Holttum,1521221,FALSE
Ctenitis_cyclochlamys,trnL-trnF,KX238781,837,Ctenitis cyclochlamys (Fée) Holttum,Ctenitis cyclochlamys (Fee) Holttum,1521221,FALSE
Ctenitis_decaryana,rbcL,KY701665,1226,Ctenitis decaryana (C. Chr.) Hennequin & Rouhan,Ctenitis decaryana (C.Chr.) Hennequin & Rouhan,1981848,FALSE
Ctenitis_decaryana,trnL-trnF,KY701723,847,Ctenitis decaryana (C. Chr.) Hennequin & Rouhan,Ctenitis decaryana (C.Chr.) Hennequin & Rouhan,1981848,FALSE
Ctenitis_decurrentipinnata,plastome,MT130665,66714,Ctenitis decurrentipinnata (Ching) Tardieu & C. Chr.,Ctenitis decurrentipinnata (Ching) Ching,450135,FALSE
Ctenitis_dentata,rbcL,KY701627,1226,Ctenitis dentata Li Bing Zhang & Yi F. Duan,Ctenitis dentata Li Bing Zhang & Yi F.Duan,1981849,FALSE
Ctenitis_dentata,trnL-trnF,KY701692,839,Ctenitis dentata Li Bing Zhang & Yi F. Duan,Ctenitis dentata Li Bing Zhang & Yi F.Duan,1981849,FALSE
Ctenitis_desvauxii,rbcL,KF992459,1226,Ctenitis desvauxii (Mett. ex Kuhn) Tardieu,Ctenitis desvauxii Tardieu,1521222,FALSE
Ctenitis_desvauxii,trnL-trnF,KY701700,831,Ctenitis desvauxii (Mett. ex Kuhn) Tardieu,Ctenitis desvauxii Tardieu,1521222,FALSE
Ctenitis_eatonii,atpA,KF709456,700,Ctenitis eatonii (Baker) Ching,Ctenitis eatonii,29613,FALSE
Ctenitis_eatonii,atpB,KF709464,1257,Ctenitis eatonii (Baker) Ching,Ctenitis eatonii,29613,FALSE
Ctenitis_eatonii,rbcL,KF709483,1248,Ctenitis eatonii (Baker) Ching,Ctenitis eatonii,29613,FALSE
Ctenitis_eatonii,trnL-trnF,KF709509,858,Ctenitis eatonii (Baker) Ching,Ctenitis eatonii,29613,FALSE
Ctenitis_equestris,rbcL,KY701637,1226,Ctenitis equestris (Kunze) Ching,Ctenitis equestris (Kunze) Ching,1981850,FALSE
Ctenitis_equestris,trnL-trnF,KY701672,339,Ctenitis equestris (Kunze) Ching,Ctenitis equestris (Kunze) Ching,1981850,FALSE
Ctenitis_eriocaulis,rbcL,KY701638,1220,Ctenitis eriocaulis (Fée) Alston,Ctenitis eriocaulis Alston,1981851,FALSE
Ctenitis_eriocaulis,trnL-trnF,KY701701,842,Ctenitis eriocaulis (Fée) Alston,Ctenitis eriocaulis Alston,1981851,FALSE
Ctenitis_exaggerata,rbcL,KY701639,1204,Ctenitis exaggerata (Baker) Ching,Ctenitis exaggerata (Baker) Ching,1981852,FALSE
Ctenitis_exaggerata,trnL-trnF,KY701702,840,Ctenitis exaggerata (Baker) Ching,Ctenitis exaggerata (Baker) Ching,1981852,FALSE
Ctenitis_excelsa,rbcL,KY701641,492,Ctenitis excelsa (Desv.) Proctor,Ctenitis excelsa (Desv.) Proctor,1981853,FALSE
Ctenitis_excelsa,trnL-trnF,KY701674,331,Ctenitis excelsa (Desv.) Proctor,Ctenitis excelsa (Desv.) Proctor,1981853,FALSE
Ctenitis_fibrillosa,rbcL,KF887168,513,Ctenitis fibrillosa (Baker) Li Bing Zhang & Yi F. Duan,Pseudotectaria fibrillosa (Baker) Holttum,1435272,FALSE
Ctenitis_glandulosa,rbcL,KY701642,1226,Ctenitis glandulosa R. S. Viveros & Salino,Ctenitis glandulosa R.S.Viveros & Salino,1981854,FALSE
Ctenitis_glandulosa,trnL-trnF,KY701703,838,Ctenitis glandulosa R. S. Viveros & Salino,Ctenitis glandulosa R.S.Viveros & Salino,1981854,FALSE
Ctenitis_hemsleyana,rbcL,MW620381,1307,Ctenitis hemsleyana (Baker ex Hemsl.) Copel.,Ctenitis hemsleyana (Baker) Copel.,1981855,FALSE
Ctenitis_hemsleyana,trnL-trnF,KY701704,842,Ctenitis hemsleyana (Baker ex Hemsl.) Copel.,Ctenitis hemsleyana (Baker) Copel.,1981855,FALSE
Ctenitis_hispida,rbcL,KY701631,1226,Ctenitis hispida (Kuhn) Li Bing Zhang & Yi F. Duan,Ctenitis hispida (Kuhn) Li Bing Zhang & Yi F.Duan,1981856,FALSE
Ctenitis_hispida,trnL-trnF,KY701696,833,Ctenitis hispida (Kuhn) Li Bing Zhang & Yi F. Duan,Ctenitis hispida (Kuhn) Li Bing Zhang & Yi F.Duan,1981856,FALSE
Ctenitis_humida,rbcL,KY701645,1226,Ctenitis humida (Cordem.) Holttum,Ctenitis humida (Cordem.) Holttum,1521223,FALSE
Ctenitis_humida,trnL-trnF,KY701706,830,Ctenitis humida (Cordem.) Holttum,Ctenitis humida (Cordem.) Holttum,1521223,FALSE
Ctenitis_iriomotensis,rbcL,AB575094,1205,Ctenitis iriomotensis (H. Itô) Nakaike,Ctenitis iriomotensis (H.Ito) Nakaike,872487,FALSE
Ctenitis_lanceolata,rbcL,KY701646,695,Ctenitis lanceolata (Baker) A. R. Sm.,Ctenitis lanceolata (Baker) A.R.Sm.,1981857,FALSE
Ctenitis_lanceolata,trnL-trnF,KY701707,685,Ctenitis lanceolata (Baker) A. R. Sm.,Ctenitis lanceolata (Baker) A.R.Sm.,1981857,FALSE
Ctenitis_latifrons,rbcL,MT657492,1237,Ctenitis latifrons (Brack.) Copel.,Ctenitis latifrons (Brack.) Copel.,2853746,FALSE
Ctenitis_lorencei,trnL-trnF,KY701675,318,Ctenitis lorencei Holttum,Ctenitis lorencei Holttum,1981858,FALSE
Ctenitis_maritima,rbcL,KF992461,1262,Ctenitis maritima (Cordem.) Tardieu,Ctenitis maritima (Cordem.) Tardieu,1521224,FALSE
Ctenitis_maritima,trnL-trnF,KY701710,830,Ctenitis maritima (Cordem.) Tardieu,Ctenitis maritima (Cordem.) Tardieu,1521224,FALSE
Ctenitis_mayottensis,trnL-trnF,KY701690,720,Ctenitis mayottensis Li Bing Zhang & Yi F. Duan,Ctenitis mayottensis Li Bing Zhang & Yi F.Duan,1981859,FALSE
Ctenitis_melanosticta,rbcL,MW620252,1256,Ctenitis melanosticta (Kunze) Copel.,Ctenitis melanosticta (Kunze) Copel.,1981860,FALSE
Ctenitis_melanosticta,trnL-trnF,KY701711,842,Ctenitis melanosticta (Kunze) Copel.,Ctenitis melanosticta (Kunze) Copel.,1981860,FALSE
Ctenitis_microlepigera,rbcL,AB575097,1205,Ctenitis microlepigera (Nakai) Ching,Ctenitis microlepigera (Nakai) Ching,872489,FALSE
Ctenitis_pallens,trnL-trnF,KY701679,326,Ctenitis pallens (Brack.) M. G. Price,Ctenitis pallens (Brack.) M.G.Price,1981862,FALSE
Ctenitis_pauciflora,rbcL,KY701651,1226,Ctenitis pauciflora (Kaulf. ex Spreng.) Holttum,Ctenitis pauciflora (Kaulf. ex Spreng.) Holttum,1981863,FALSE
Ctenitis_pauciflora,trnL-trnF,KY701680,320,Ctenitis pauciflora (Kaulf. ex Spreng.) Holttum,Ctenitis pauciflora (Kaulf. ex Spreng.) Holttum,1981863,FALSE
Ctenitis_refulgens,atpB,KM114092,1147,Ctenitis refulgens (Klotzsch ex Mett.) Vareschi,Ctenitis refulgens (Klotzsch ex Mett.) C.Chr. ex Vareschi,1481333,FALSE
Ctenitis_refulgens,rbcL,KJ628670,1299,Ctenitis refulgens (Klotzsch ex Mett.) Vareschi,Ctenitis refulgens (Klotzsch ex Mett.) C.Chr. ex Vareschi,1481333,FALSE
Ctenitis_refulgens,trnL-trnF,KY701714,843,Ctenitis refulgens (Klotzsch ex Mett.) Vareschi,Ctenitis refulgens (Klotzsch ex Mett.) C.Chr. ex Vareschi,1481333,FALSE
Ctenitis_reunionensis,trnL-trnF,KY701691,830,"Ctenitis reunionensis Hennequin, Li Bing Zhang & Yi F. Duan","Ctenitis reunionensis Hennequin, Li Bing Zhang & Yi F.Duan",1981864,FALSE
Ctenitis_sciaphila,rbcL,KY099785,1284,Ctenitis sciaphila (Maxon) Ching,Ctenitis sciaphila (Maxon) Ching,2053848,FALSE
Ctenitis_sieberiana,rbcL,KF992495,1243,Ctenitis sieberiana (Kaulf. ex Spreng.) Hennequin & Rouhan,Heterogonium sieberianum (Kaulf.) Holttum,1521233,FALSE
Ctenitis_sieberiana,trnL-trnF,KY701719,833,Ctenitis sieberiana (Kaulf. ex Spreng.) Hennequin & Rouhan,Ctenitis sieberiana (Kaulf.) Hennequin & Rouhan,1981865,FALSE
Ctenitis_sinii,atpB,KJ196464,1152,Ctenitis sinii (Ching) Ohwi,Ctenitis sinii (Ching) Ohwi,65705,FALSE
Ctenitis_sinii,matK,KJ196552,1232,Ctenitis sinii (Ching) Ohwi,Ctenitis sinii (Ching) Ohwi,65705,FALSE
Ctenitis_sinii,rbcL,KJ196861,1219,Ctenitis sinii (Ching) Ohwi,Ctenitis sinii (Ching) Ohwi,65705,FALSE
Ctenitis_sinii,trnL-trnF,KJ196643,314,Ctenitis sinii (Ching) Ohwi,Ctenitis sinii (Ching) Ohwi,65705,FALSE
Ctenitis_sloanei,atpA,JF832106,1704,Ctenitis sloanei (Poepp. ex Spreng.) C. V. Morton,Ctenitis sloanei (Poepp.) C.V.Morton,449828,FALSE
Ctenitis_sloanei,atpB,EF463383,1278,Ctenitis sloanei (Poepp. ex Spreng.) C. V. Morton,Ctenitis sloanei (Poepp.) C.V.Morton,449828,FALSE
Ctenitis_sloanei,rbcL,EF463172,1308,Ctenitis sloanei (Poepp. ex Spreng.) C. V. Morton,Ctenitis sloanei (Poepp.) C.V.Morton,449828,FALSE
Ctenitis_sloanei,trnL-trnF,KY701715,858,Ctenitis sloanei (Poepp. ex Spreng.) C. V. Morton,Ctenitis ampla (Humb. & Bonpl. ex Willd.) Ching,1981837,FALSE
Ctenitis_spekei,trnL-trnF,KY701676,330,Ctenitis spekei (Baker) Li Bing Zhang & Yi F. Duan,Ctenitis spekei (Baker) Li Bing Zhang & Yi F.Duan,1981866,FALSE
Ctenitis_squamigera,rbcL,MT657493,1309,Ctenitis squamigera (Brack.) Copel.,Ctenitis squamigera (Hook. & Arn.) Copel.,2853747,FALSE
Ctenitis_subglandulosa,atpB,KJ196429,1152,Ctenitis subglandulosa (Hance) Ching,Ctenitis yunnanensis Ching & Chu H.Wang,1524099,FALSE
Ctenitis_subglandulosa,matK,KJ196556,1226,Ctenitis subglandulosa (Hance) Ching,Ctenitis yunnanensis Ching & Chu H.Wang,1524099,FALSE
Ctenitis_subglandulosa,rbcL,KJ196836,1219,Ctenitis subglandulosa (Hance) Ching,Ctenitis yunnanensis Ching & Chu H.Wang,1524099,FALSE
Ctenitis_subglandulosa,trnL-trnF,KJ196715,326,Ctenitis subglandulosa (Hance) Ching,Ctenitis yunnanensis Ching & Chu H.Wang,1524099,FALSE
Ctenitis_submarginalis,atpA,EF463668,1506,Ctenitis submarginalis (Langsd. & Fisch.) Ching,Ctenitis submarginalis (Langsd. & Fisch.) Ching,449830,FALSE
Ctenitis_submarginalis,atpB,EF463384,1267,Ctenitis submarginalis (Langsd. & Fisch.) Ching,Ctenitis submarginalis (Langsd. & Fisch.) Ching,449830,FALSE
Ctenitis_submarginalis,rbcL,EF463173,1308,Ctenitis submarginalis (Langsd. & Fisch.) Ching,Ctenitis submarginalis (Langsd. & Fisch.) Ching,449830,FALSE
Ctenitis_tardieu-blotiae,trnL-trnF,KY701671,292,Ctenitis tardieu-blotiae Li Bing Zhang & Yi F. Duan,Ctenitis tardieu-blotiae Li Bing Zhang & Yi F.Duan,1981867,FALSE
Ctenitis_vilis,rbcL,KY701659,779,Ctenitis vilis (Kunze) Ching,Ctenitis vilis (Kunze) Ching,1981868,FALSE
Ctenitis_vilis,trnL-trnF,KY701683,327,Ctenitis vilis (Kunze) Ching,Ctenitis vilis (Kunze) Ching,1981868,FALSE
Ctenitis_warburii,trnL-trnF,KY701686,332,Ctenitis warburii (C. Chr.) Tardieu,Ctenitis warburii Tardieu,1981869,FALSE
Ctenopterella_blechnoides,rbcL,MT657582,1309,Ctenopterella blechnoides (Grev.) Parris,Ctenopterella blechnoides (Grev.) Parris,2053849,FALSE
Ctenopterella_denticulata,atpB,JF514081,722,Ctenopterella denticulata (Blume) Parris,Ctenopterella denticulata (Blume) Parris,1080196,FALSE
Ctenopterella_denticulata,rbcL,JF514013,1143,Ctenopterella denticulata (Blume) Parris,Ctenopterella denticulata (Blume) Parris,1080196,FALSE
